Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5
-0.6,0,0,-0.0002,13.99970341,0.034547348,-13.703355,-2.8650606,0.04343562
-0.6,0,0,-0.00015,13.87863159,0.034471918,-13.710741,-2.1519282,0.040169337
-0.6,0,0,-1.00E-04,13.79341698,0.03439695,-13.718127,-1.4387976,0.037441888
-0.6,0,0,-5.00E-05,13.74472618,0.03432156,-13.725513,-0.7256684,0.035845073
-0.6,0,0,3.12E-19,13.7329483,0.034246407,-13.7329,-0.012539638,0.035298294
-0.6,0,0,5.00E-05,13.75817776,0.034171253,-13.740286,0.70058906,0.035685099
-0.6,0,0,0.0001,13.82021236,0.034096282,-13.747673,1.4137182,0.037124379
-0.6,0,0,0.00015,13.91856003,0.034021012,-13.755059,2.1268487,0.039864452
-0.6,0,0,0.0002,14.05245876,0.03394602,-13.762446,2.8399806,0.043259055
-0.6,0,0,0.00025,14.2209034,0.033870768,-13.769834,3.553115,0.04706331
-0.6,0,0,0.0003,14.42268562,0.03379552,-13.777221,4.266252,0.051175787
-0.6,0,0,0.00035,14.65642929,0.033720195,-13.784608,4.9793925,0.055530633
-0.6,0,0,0.0004,14.92063141,0.0336451,-13.791995,5.6925364,0.060069284
-0.6,0,0,0.00045,15.21370697,0.033569783,-13.799383,6.4056845,0.064741891
-0.6,0,0,0.0005,15.53402615,0.033494703,-13.806771,7.1188407,0.069510265
-0.6,0,0,0.00055,15.87993431,0.03341947,-13.814158,7.8319993,0.074347758
-0.6,0,0,0.0006,16.24980354,0.033344503,-13.821547,8.545163,0.079236691
-0.6,0,0,0.00065,16.64203262,0.0332693,-13.828935,9.258332,0.084165319
-0.6,0,0,0.0007,17.05508614,0.03319429,-13.836324,9.971509,0.089125694
-0.6,0,0,0.00075,17.48748398,0.033118885,-13.843712,10.684691,0.094112235
-0.6,0,0,0.0008,17.93782997,0.033043887,-13.8511,11.39788,0.099120897
-0.6,0,0,0.00085,18.40480804,0.032968827,-13.858489,12.111075,0.104148678
-0.6,0,0,0.0009,18.88718414,0.03289377,-13.865878,12.824277,0.109193241
-0.6,0,0,0.00095,19.38381004,0.032818828,-13.873266,13.537486,0.114252799
-0.6,0,0,0.001,19.89362335,0.032743566,-13.880655,14.250704,0.11932593
-0.4,0,0,-0.001,16.87606812,0.023075879,-9.007092,-14.2714205,0.113232822
-0.4,0,0,-0.00095,16.28141975,0.023021907,-9.014486,-13.558139,0.10805372
-0.4,0,0,-0.0009,15.69667339,0.022967862,-9.02188,-12.844871,0.102886621
-0.4,0,0,-0.00085,15.12297535,0.02291379,-9.029274,-12.131615,0.097733413
-0.4,0,0,-0.0008,14.5616293,0.022859823,-9.036667,-11.41837,0.092597488
-0.4,0,0,-0.00075,14.0141201,0.022805607,-9.044061,-10.705139,0.087483742
-0.4,0,0,-0.0007,13.4821291,0.022751663,-9.051455,-9.9919195,0.082395377
-0.4,0,0,-0.00065,12.96756363,0.022697741,-9.058847,-9.27871,0.077332171
-0.4,0,0,-0.0006,12.47257996,0.02264363,-9.066241,-8.565513,0.072294491
-0.4,0,0,-0.00055,11.9995985,0.022589779,-9.073634,-7.8523254,0.067285307
-0.4,0,0,-0.0005,11.55132198,0.022535594,-9.081028,-7.1391487,0.062309851
-0.4,0,0,-0.00045,11.13072968,0.022481618,-9.088421,-6.425982,0.057375382
-0.4,0,0,-0.0004,10.74107456,0.022427509,-9.095814,-5.7128243,0.052492007
-0.4,0,0,-0.00035,10.38583946,0.022373373,-9.103208,-4.999676,0.047674612
-0.4,0,0,-0.0003,10.06866074,0.022319723,-9.110601,-4.2865353,0.042949271
-0.4,0,0,-0.00025,9.793237686,0.022265786,-9.117994,-3.5733998,0.038375079
-0.4,0,0,-0.0002,9.563177109,0.022211814,-9.125388,-2.860272,0.034071542
-0.4,0,0,-0.00015,9.381814957,0.022158002,-9.132782,-2.1471493,0.030153168
-0.4,0,0,-1.00E-04,9.252013206,0.022104096,-9.140176,-1.434031,0.026779566
-0.4,0,0,-5.00E-05,9.175959587,0.022050174,-9.14757,-0.7209144,0.024330965
-0.4,0,0,3.12E-19,9.154993057,0.021996263,-9.1549635,-0.007799287,0.023532197
-0.4,0,0,5.00E-05,9.189490318,0.021942353,-9.162357,0.70531595,0.024154682
-0.4,0,0,0.0001,9.278835297,0.021888489,-9.169752,1.4184324,0.026576302
-0.4,0,0,0.00015,9.42146492,0.02183445,-9.177147,2.1315508,0.030078614
-0.4,0,0,0.0002,9.615011215,0.02178062,-9.184542,2.8446736,0.03411719
-0.4,0,0,0.00025,9.85647583,0.021726577,-9.1919365,3.5578008,0.038520225
-0.4,0,0,0.0003,10.14243793,0.021672567,-9.199331,4.270934,0.043161258
-0.4,0,0,0.00035,10.46925545,0.021618621,-9.206727,4.984077,0.047947761
-0.4,0,0,0.0004,10.83323097,0.021564795,-9.214123,5.6972256,0.052824458
-0.4,0,0,0.00045,11.23075581,0.021510886,-9.2215185,6.410383,0.057761286
-0.4,0,0,0.0005,11.65839958,0.021456778,-9.228914,7.123551,0.062741487
-0.4,0,0,0.00055,12.11297607,0.021402821,-9.236311,7.836727,0.067755035
-0.4,0,0,0.0006,12.59156799,0.021349074,-9.243707,8.549913,0.072795488
-0.4,0,0,0.00065,13.09154701,0.021295067,-9.251103,9.263112,0.077858493
-0.4,0,0,0.0007,13.6105566,0.021241045,-9.2585,9.976321,0.082941011
-0.4,0,0,0.00075,14.14650536,0.021187054,-9.265898,10.689542,0.088040944
-0.4,0,0,0.0008,14.69754028,0.021133227,-9.273294,11.402774,0.093156871
-0.4,0,0,0.00085,15.26202965,0.02107918,-9.280691,12.116017,0.098287799
-0.4,0,0,0.0009,15.83853722,0.021025205,-9.288089,12.829272,0.103432947
-0.4,0,0,0.00095,16.42579842,0.020971313,-9.295486,13.54254,0.108591604
-0.4,0,0,0.001,17.02270508,0.020917444,-9.302884,14.255819,0.113762991
-0.2,0,0,-0.001,14.94143391,0.012079001,-4.4295955,-14.269723,0.109248637
-0.2,0,0,-0.00095,14.26389408,0.012024805,-4.4369917,-13.556239,0.103937823
-0.2,0,0,-0.0009,13.59004879,0.011970378,-4.4443874,-12.842769,0.098633379
-0.2,0,0,-0.00085,12.92047691,0.011916323,-4.451783,-12.1293125,0.093336475
-0.2,0,0,-0.0008,12.25588989,0.011862026,-4.4591784,-11.415885,0.088048742
-0.2,0,0,-0.00075,11.59712315,0.011808064,-4.4665737,-10.702469,0.082771828
-0.2,0,0,-0.0007,10.94522572,0.011753727,-4.4739685,-9.989065,0.077507758
-0.2,0,0,-0.00065,10.30151272,0.011699892,-4.4813633,-9.275689,0.072258612
-0.2,0,0,-0.0006,9.667610168,0.011645742,-4.488758,-8.562336,0.067026042
-0.2,0,0,-0.00055,9.045578957,0.011591828,-4.496152,-7.8490114,0.061811496
-0.2,0,0,-0.0005,8.438034058,0.011537939,-4.503546,-7.1357102,0.056616411
-0.2,0,0,-0.00045,7.848336697,0.011483931,-4.51094,-6.4224353,0.05144331
-0.2,0,0,-0.0004,7.280814648,0.011429912,-4.5183334,-5.709185,0.046298744
-0.2,0,0,-0.00035,6.741064548,0.011375831,-4.5257273,-4.9959598,0.041197688
-0.2,0,0,-0.0003,6.236289978,0.011321815,-4.5331206,-4.2827563,0.036147245
-0.2,0,0,-0.00025,5.775660992,0.011267797,-4.540514,-3.5695744,0.031154926
-0.2,0,0,-0.0002,5.370537281,0.011213754,-4.547907,-2.8564122,0.026246004
-0.2,0,0,-0.00015,5.034330368,0.011159861,-4.5553007,-2.1432676,0.021474636
-0.2,0,0,-1.00E-04,4.781588554,0.011105907,-4.562694,-1.430136,0.017035771
-0.2,0,0,-5.00E-05,4.626006603,0.011052048,-4.570088,-0.7170155,0.013389783
