Input1,Input2,Input3,Input4,Output1,Output2,Output3,Output4,Output5,
-0.6,0.0003,0,0,14.37157059,4.314707,-13.70858,-0.013019558,0.051448884,
-0.6,0.00035,0,0,14.59781742,5.028126,-13.704527,-0.013099365,0.055806903,
-0.6,0.0004,0,0,14.85491562,5.741547,-13.700474,-0.013179284,0.060349265,
-0.6,0.00045,0,0,15.14129543,6.454973,-13.696422,-0.013259158,0.065018356,
-0.6,0.0005,0,0,15.45532894,7.1684074,-13.6923685,-0.013339624,0.069776786,
-0.6,0.00055,0,0,15.79536819,7.881844,-13.688316,-0.013419418,0.074601464,
-0.6,0.0006,0,0,16.15977097,8.595285,-13.684263,-0.013499779,0.079477401,
-0.6,0.00065,0,0,16.54692841,9.308732,-13.680211,-0.013579711,0.084394163,
-0.6,0.0007,0,0,16.95528412,10.022186,-13.676158,-0.013660105,0.089344222,
-0.6,0.00075,0,0,17.38334846,10.735648,-13.672106,-0.013740312,0.094321965,
-0.6,0.0008,0,0,17.82969666,11.449115,-13.668054,-0.013820526,0.099323116,
-0.6,0.00085,0,0,18.29299545,12.162588,-13.664001,-0.013900742,0.104344392,
-0.6,0.0009,0,0,18.77198792,12.876068,-13.659948,-0.013981007,0.109383227,
-0.6,0.00095,0,0,19.26550674,13.589556,-13.655896,-0.014061104,0.114437603,
-0.6,0.001,0,0,19.77246284,14.30305,-13.651844,-0.014141253,0.119505937,
-0.4,-0.001,0,0,16.97880936,-14.246774,-9.236308,-0.006624219,0.113398771,
-0.4,-0.00095,0,0,16.38239098,-13.533236,-9.23224,-0.006683194,0.108216444,
-0.4,-0.0009,0,0,15.79570103,-12.819711,-9.228171,-0.006742072,0.103048471,
-0.4,-0.00085,0,0,15.21986103,-12.106198,-9.224104,-0.006800733,0.097896369,
-0.4,-0.0008,0,0,14.656147,-11.392697,-9.220036,-0.006859417,0.092761095,
-0.4,-0.00075,0,0,14.10601139,-10.679208,-9.215967,-0.006918365,0.087642875,
-0.4,-0.0007,0,0,13.57110596,-9.96573,-9.2119,-0.006977138,0.082541838,
-0.4,-0.00065,0,0,13.053298,-9.252264,-9.207831,-0.007035804,0.077458801,
-0.4,-0.0006,0,0,12.55470371,-8.538809,-9.203764,-0.007094559,0.072396046,
-0.4,-0.00055,0,0,12.07769775,-7.825364,-9.199697,-0.007153149,0.067359294,
-0.4,-0.0005,0,0,11.62493896,-7.111931,-9.195629,-0.007211832,0.062364475,
-0.4,-0.00045,0,0,11.19936371,-6.3985066,-9.191562,-0.007270725,0.05742438,
-0.4,-0.0004,0,0,10.80418301,-5.6850915,-9.187494,-0.007329559,0.052538945,
-0.4,-0.00035,0,0,10.44284725,-4.9716854,-9.183428,-0.007388135,0.047724148,
-0.4,-0.0003,0,0,10.11897755,-4.258287,-9.17936,-0.007446995,0.043010614,
-0.4,-0.00025,0,0,9.836277008,-3.5448935,-9.175294,-0.007505738,0.038446667,
-0.4,-0.0002,0,0,9.598381042,-2.8315082,-9.171227,-0.007564469,0.034115382,
-0.4,-0.00015,0,0,9.408685684,-2.1181276,-9.167161,-0.007623072,0.030142297,
-0.4,-1.00E-04,0,0,9.270151138,-1.4047511,-9.163095,-0.007681851,0.026706519,
-0.4,-5.00E-05,0,0,9.185090065,-0.6913769,-9.159029,-0.007740614,0.024252475,
-0.4,3.12E-19,0,0,9.154993057,0.021996263,-9.1549635,-0.007799287,0.023532197,
-0.4,5.00E-05,0,0,9.180401802,0.7353694,-9.150898,-0.007858012,0.024333811,
-0.4,0.0001,0,0,9.260856628,1.4487435,-9.146832,-0.007916844,0.026818284,
-0.4,0.00015,0,0,9.394946098,2.1621203,-9.142767,-0.007975638,0.030276152,
-0.4,0.0002,0,0,9.580420494,2.8755012,-9.138702,-0.008034191,0.034299257,
-0.4,0.00025,0,0,9.814365387,3.5888867,-9.134637,-0.008092797,0.03870611,
-0.4,0.0003,0,0,10.09341431,4.3022776,-9.130572,-0.008151408,0.043345578,
-0.4,0.00035,0,0,10.41394424,5.0156784,-9.126508,-0.008210534,0.048121284,
-0.4,0.0004,0,0,10.77225304,5.729085,-9.122442,-0.008269307,0.052984943,
-0.4,0.00045,0,0,11.16470718,6.4424996,-9.118378,-0.008328076,0.057910289,
-0.4,0.0005,0,0,11.58784008,7.155925,-9.114313,-0.008386983,0.06288132,
-0.4,0.00055,0,0,12.03841782,7.869359,-9.110249,-0.008445871,0.067887617,
-0.4,0.0006,0,0,12.51347923,8.582804,-9.106184,-0.008504918,0.072922158,
-0.4,0.00065,0,0,13.01034451,9.296258,-9.102119,-0.008563876,0.077980081,
-0.4,0.0007,0,0,13.52661419,10.009726,-9.098055,-0.008622603,0.083057989,
-0.4,0.00075,0,0,14.06014919,10.723202,-9.09399,-0.008681602,0.088153422,
-0.4,0.0008,0,0,14.60906506,11.436693,-9.089926,-0.008740349,0.093264627,
-0.4,0.00085,0,0,15.17168999,12.150195,-9.085861,-0.008799347,0.098390225,
-0.4,0.0009,0,0,15.74655819,12.8637085,-9.081797,-0.008858137,0.103529152,
-0.4,0.00095,0,0,16.33238029,13.577236,-9.077732,-0.008917278,0.108680565,
-0.4,0.001,0,0,16.92801857,14.290775,-9.073668,-0.008976148,0.113843735,
-0.2,-0.001,0,0,15.00173664,-14.259988,-4.6588445,-0.002724262,0.109406351,
-0.2,-0.00095,0,0,14.32367611,-13.546245,-4.654775,-0.00278319,0.104087794,
-0.2,-0.0009,0,0,13.64926243,-12.832509,-4.650706,-0.002842049,0.098775664,
-0.2,-0.00085,0,0,12.97908306,-12.118801,-4.6466365,-0.00290094,0.09347135,
-0.2,-0.0008,0,0,12.31380844,-11.405106,-4.6425676,-0.002959483,0.0881762,
-0.2,-0.00075,0,0,11.6542902,-10.691436,-4.6384983,-0.003018275,0.082892,
-0.2,-0.0007,0,0,11.00154114,-9.977774,-4.6344295,-0.003077141,0.077620357,
-0.2,-0.00065,0,0,10.35685825,-9.264139,-4.6303606,-0.003135985,0.072363231,
-0.2,-0.0006,0,0,9.721838951,-8.55053,-4.6262918,-0.003194636,0.067122484,
-0.2,-0.00055,0,0,9.098497391,-7.836945,-4.622223,-0.003253396,0.061900275,
-0.2,-0.0005,0,0,8.489404678,-7.123387,-4.618154,-0.003312109,0.056699386,
-0.2,-0.00045,0,0,7.897850513,-6.4098554,-4.6140857,-0.003371036,0.051524236,
-0.2,-0.0004,0,0,7.328073502,-5.6963487,-4.610018,-0.003429709,0.046380548,
-0.2,-0.00035,0,0,6.785552979,-4.982865,-4.60595,-0.003488569,0.041270919,
-0.2,-0.0003,0,0,6.277351856,-4.2694044,-4.601882,-0.00354728,0.036198023,
-0.2,-0.00025,0,0,5.812469482,-3.5559654,-4.5978146,-0.003605916,0.031182237,
-0.2,-0.0002,0,0,5.402091503,-2.8425457,-4.593747,-0.00366478,0.026269473,
-0.2,-0.00015,0,0,5.059488773,-2.1291435,-4.58968,-0.003723497,0.021505307,
